T,L,E,Ms,Cv,chi_s,U,periodica,intento
0.7,16,-250.1815999999816,0.3179358258928571,0.5212662514577112,5.509028780862794,0.5668782991423216,False,3
0.6,16,-258.6844571428406,0.37709375,0.28402478443862517,4.7072051041666665,0.6163976304721284,False,3
1.4,16,-167.39382857142806,0.06499162946428572,0.2127976646189032,0.220442828386935,0.32247379090818473,False,2
1.3,16,-173.24919999999855,0.06991294642857143,0.2513082785820056,0.27850393347723706,0.3057087056120239,False,2
1.2,16,-180.70359999999937,0.07656640625,0.28165007645088264,0.35485611653645854,0.3210122983228517,False,2
1.1,16,-188.85051428571404,0.08665792410714286,0.36687000910774725,0.4982259043802178,0.3151387940656175,False,2
1.0,16,-199.02479999999875,0.10070200892857142,0.4795418832142673,0.7352524103954083,0.2872503936981766,False,2
0.9,16,-214.971828571427,0.14138448660714287,0.657724567759594,1.7652494932504246,0.3025593175626914,False,2
0.8,16,-233.92754285713843,0.21447209821428573,0.8045460813138837,4.035338054448339,0.4215100437948084,False,2
0.7,16,-250.60171428569183,0.3239536830357143,0.43520332934205586,4.445708520294269,0.5820821867153823,False,2
0.6,16,-259.95445714283915,0.4217728794642857,0.18721286107563628,0.3291185043314234,0.6612034059191962,False,2
1.4,16,-167.31531428571398,0.06550558035714285,0.21203645405561494,0.23090396114249298,0.2911393456262512,False,10
1.3,16,-173.64388571428483,0.06922935267857143,0.249901085134635,0.2697530856922096,0.3102914743094115,False,10
1.2,16,-180.3146285714291,0.07680357142857143,0.30164950010627384,0.3636072076955782,0.29713312434681194,False,10
1.1,16,-188.56262857142954,0.08567466517857143,0.37651334841457856,0.5193036264349488,0.2820509589805189,False,10
1.0,16,-199.94559999999856,0.10404520089285714,0.47627076142859437,0.8467340082110972,0.2667333012836003,False,10
0.9,16,-214.23314285714213,0.1327818080357143,0.6960447467875672,1.6329108183638033,0.2605282025498735,False,10
0.8,16,-233.24902857142544,0.20166796875,0.7956987770248779,4.085353722795757,0.371072622985566,False,10
0.7,16,-252.63097142854573,0.3819765625,0.39357763004989943,1.049189595025502,0.6472352472686033,False,10
0.6,16,-259.73114285712586,0.42047321428571427,0.2016722638534437,0.3706069111394683,0.6606186803887375,False,10
1.4,16,-167.24154285714212,0.06497823660714286,0.2223452758681295,0.2198722507630283,0.31168456627792684,False,13
1.3,16,-173.5262857142864,0.07090234375,0.25520014113630307,0.2815047188358516,0.3134974152936658,False,13
1.2,16,-180.27994285714487,0.07515680803571428,0.29989002975304835,0.3601596539514244,0.29556483706582515,False,13
