L,periodica,T,h,E_mean,E_sem,M_mean,M_sem,Ms_mean,Ms_sem,Cv_mean,Cv_sem,chi_mean,chi_sem,chi_s_mean,chi_s_sem,U_mean,U_sem,n_intentos
24,True,0.6,0.0,-1.1974921983024942,5.07738774116888e-06,0.6591720183995912,0.0014467380138719894,0.49931286651234563,1.5232853823266263e-06,0.037308248339878614,9.190398689733976e-05,0.005960222705151302,1.9559396314787235e-05,0.002147710963427755,8.198709112326882e-06,0.6666548096656542,4.4910515285519155e-08,40
24,True,0.6,0.5,-1.2737769853394956,4.8424498869102965e-05,551.2955956534299,0.06307747230146273,0.9571102546296297,0.0001095446699597136,0.3257588604876421,0.0011778614705223922,0.8068299507978518,0.005440352102264937,0.8068329462345503,0.005441405782943883,0.6654783076416106,7.961632890547909e-06,20
24,True,0.7,0.0,-1.190641289351876,1.1826921819231889e-05,2.0474533899246685,0.002474133897368544,0.4971850366512346,4.215248900483993e-06,0.10983065958382618,0.0002295274051748687,0.01615602449082541,4.07692549532626e-05,0.009505058944984022,3.353470446517958e-05,0.6666051314428506,2.1446662183695663e-07,40
24,True,0.7,0.5,-1.2299653356481401,8.304133731596641e-05,508.38572920601763,0.07792539083415949,0.8826140046296297,0.0001352918199794892,0.5289412349438637,0.002065656893102581,1.5190858879575841,0.005312531850700247,1.5190793497663009,0.005315071102244735,0.6635752341333487,1.110124186606971e-05,20
24,True,0.8,0.0,-1.1725468950617501,2.766475016855604e-05,4.351261083087043,0.005478147041634067,0.4907181240354938,1.3759150360611477e-05,0.27516114157210414,0.000549434569067012,0.03500770546372108,0.00010119862050178194,0.03818458912280505,0.00016521709342994133,0.6663791005696577,1.2098914942616564e-06,40
24,True,0.8,0.5,-1.17360115084876,6.74051471678343e-05,456.75459878669363,0.056466395278966845,0.792976601080247,9.805588060028798e-05,0.5783748224221892,0.0017191226660454861,1.6985755048520446,0.00385920244250356,1.6985839732760688,0.0038619701311489083,0.6617428733960918,1.1418583883373056e-05,20
24,True,0.9,0.0,-1.1262176458333388,6.527372168597439e-05,7.825487211395303,0.00710139803769956,0.4693032301311728,0.00013087075456924162,0.7639480761223246,0.004013564293898835,0.08068087603378178,0.0001993577986926719,0.3122718833808417,0.02755122709544151,0.6643235772890376,0.00010555221270212648,40
24,True,0.9,0.5,-1.1167697650462922,6.231613078053895e-05,409.91123975022776,0.06411303223317817,0.7116516473765432,0.00011126368405752843,0.5471933160869684,0.001591154376918503,1.591313176822409,0.0036978919873993997,1.5913273165171162,0.0036980620762874223,0.6602067761689299,1.5201054343084077e-05,20
24,True,1.0,0.0,-0.8834017268517895,0.00043761697293344317,17.627711606408745,0.016650874460636966,0.18387733121141972,0.0007515029357907484,2.7780887277376323,0.019512668307167955,0.321900702933252,0.0005337777604571495,7.460915437840599,0.049244355131349594,0.26364932798379465,0.0027597972942920383,40
24,True,1.0,0.5,-1.0640616905864169,7.599268401737116e-05,370.68467145174554,0.04625043861073896,0.6435495138888889,8.030295058632747e-05,0.5016101200814268,0.0012923671882524139,1.4177210214232117,0.0026512294236606605,1.4177265587314836,0.002649470444552185,0.6588400422293027,1.4992678682928853e-05,20
24,True,1.1,0.0,-0.7784976149691409,5.990341259219103e-05,20.290236883624807,0.014669317586616975,0.07978040219907404,0.00010457109068254634,0.5097154901244321,0.001248172274585869,0.3736548862922561,0.000621200701337488,1.0517420092745549,0.004724085151993026,0.24139432141505712,0.002191969334268782,40
24,True,1.1,0.5,-1.0166610979938269,6.0949928699413706e-05,338.05441879069355,0.04745714891264394,0.5868999305555556,8.237578860125482e-05,0.4495402484039149,0.0009466128219422659,1.266272003589737,0.0030910539665845857,1.266269111789803,0.003089056687338139,0.6574270398433704,2.3052436448902554e-05,20
24,True,1.2,0.0,-0.7380921365740746,4.5484002081626755e-05,20.898736694740116,0.01588349613252718,0.06244445698302466,6.137819523803031e-05,0.33343545105473904,0.0006156448277396552,0.36265628566594743,0.0005533421866479097,0.5538382234364103,0.001577236662490469,0.28450737299954004,0.0011883973059137408,40
24,True,1.2,0.5,-0.9739622222222245,6.818045509101518e-05,310.629959334237,0.04769186310389077,0.5392879012345679,8.284889351869136e-05,0.40338852484564774,0.0007626731433040739,1.1326392160519267,0.0013454741202060371,1.1326282919087363,0.0013440735818833463,0.6559903698714067,1.3461310171482056e-05,20
24,True,1.3,0.0,-0.7085459598765422,3.011716222719293e-05,21.26196640074665,0.011021410495243193,0.054345296103395016,4.79936421630078e-05,0.26464460251503635,0.00039724625621433536,0.3458636625617745,0.00041225625136577775,0.3800090104607041,0.0008951649478365971,0.29774769118015,0.0009377747276747735,40
24,True,1.3,0.5,-0.9357843368055487,5.475080789911836e-05,287.386853625475,0.04192913184959953,0.4989354205246913,7.280491716058611e-05,0.36280525797286034,0.0008458833329890411,1.025627563649651,0.0020245316478187166,1.025625987689542,0.002023416045667752,0.654451634752692,2.321033527488307e-05,20
24,True,1.4,0.0,-0.684307249999996,3.058796299821495e-05,21.504865447434504,0.01296553799826272,0.04956972993827156,3.135911640527464e-05,0.2253537717342508,0.00025324565969242664,0.32844076413521917,0.0003810248543874567,0.2910840085240606,0.0005389269504266379,0.3037983385639137,0.0007660319069636854,40
24,True,1.4,0.5,-0.901325492283981,4.838031015105238e-05,267.3963378591587,0.033713215793947114,0.4642293055555555,5.8533365007456494e-05,0.32778222460079587,0.00044794815085755067,0.9410493445769031,0.0012592805673699403,0.9410416153103475,0.001260269707331115,0.6527561713764471,1.8754292309808324e-05,20
24,True,1.5,0.0,-0.6631278796296187,3.56764862305293e-05,21.649816670740652,0.014983158405932747,0.04629867283950612,2.3514464138775135e-05,0.19826356041352772,0.0003194600614872199,0.3101911830828751,0.00044630559671797633,0.23570671243578528,0.0003236251497703129,0.307241659855476,0.0006411523485617376,40
24,True,1.5,0.5,-0.8699553221450718,4.515147410353896e-05,249.90357769827338,0.030539355593670804,0.43386032021604937,5.289816659792813e-05,0.2993422030501874,0.0005568732660567984,0.8708629926177768,0.00157844397776971,0.8708595928233842,0.0015776679874169996,0.6509061339368607,2.9260993681696606e-05,20
24,True,1.6,0.0,-0.6442409544753145,3.550219127359321e-05,21.77197728939357,0.011557390326675902,0.04383778067129625,1.883856737066675e-05,0.17929506846401416,0.00022968023543933728,0.2945272144912149,0.0004382854047553493,0.19792247375740793,0.0002537494507328605,0.30858718274476626,0.0006175290770023016,40
24,True,1.6,0.5,-0.8412857523148001,4.406531121371399e-05,234.47021621741737,0.024541382933734663,0.40706621913580243,4.24825602530171e-05,0.2755514895956817,0.00047864655518873185,0.80983859045032,0.0013475667491002444,0.8098315086640524,0.0013493747715271848,0.6489466682135425,2.8281053841845213e-05,20
24,True,1.7,0.0,-0.6270693858024652,3.382367803430453e-05,21.828541587964715,0.011323166952119233,0.041957258873456735,1.906435714412872e-05,0.16412454075263563,0.0002128096022363397,0.27881118437975627,0.00028174463173133576,0.1703469246013374,0.00025722691231365604,0.3097131063535651,0.000498960037419327,40
24,True,1.7,0.5,-0.8148221450617112,5.691839364232072e-05,220.82289060243107,0.029837566316774398,0.38337344135802465,5.184208669727732e-05,0.2534428563978329,0.0002981049612612768,0.7568860446384649,0.0010840186253828804,0.7568730173150122,0.0010802348751863427,0.6468838320550244,2.9889300610480333e-05,20
24,True,2.0,0.0,-0.582816895833337,4.054144242199042e-05,21.909879780449323,0.013215886287647655,0.03816911168981478,1.7267251420172122e-05,0.13369277053124254,0.00015900317154735882,0.23842831623324048,0.0003580768076304301,0.11974472002768129,0.00013201276178846888,0.3098800779303438,0.0005313037675279837,40
24,True,2.0,0.5,-0.74647193441357,6.812588182331191e-05,187.5429123797249,0.027735499519128924,0.3255965046296296,4.810628199538515e-05,0.20527605151806932,0.00041471720095249666,0.6362708114926632,0.000846993785119161,0.6361708533842603,0.0008548388122480312,0.6397767620279191,4.015909573720546e-05,20
