L,periodica,T,E_mean,E_sem,Ms_mean,Ms_sem,Cv_mean,Cv_sem,chi_s_mean,chi_s_sem,U_mean,U_sem,n_intentos
16,True,0.1,-307.07200000000023,0.12800000000000092,0.495625,0.0043749999999999995,-6.480149750132111e-12,5.882981098185769e-13,0.0,0.0,0.6666666666666667,2.2316322462394835e-17,100
16,True,0.5,-306.81192342857065,0.14945064271282543,0.4923960825892857,0.004280905661947118,0.03302218897346842,0.010659211194098642,0.5705444123214302,0.2489543727474735,0.655634824422267,0.00803828889911023,100
16,True,0.6,-306.55548571428585,0.003342546969485627,0.4993100502232143,3.964874065623614e-06,0.037522241323713915,0.00021886554567559588,0.0021546279854915153,1.996432519060736e-05,0.6666401995286815,2.421107007784891e-07,100
16,True,0.7,-304.79477371428567,0.006755085222586931,0.4971710267857143,9.58848758072882e-06,0.11031656067367449,0.0004465909105026227,0.00959123976630753,7.025472789839416e-05,0.6665291988905957,9.701364881160175e-07,100
16,True,0.8,-300.16788799999966,0.014516558250465472,0.49070263392857144,2.7178572795162453e-05,0.27454183587212894,0.001034406691449437,0.03894643073581121,0.0005185127313005384,0.6660277623295552,6.821283382703391e-06,100
16,True,0.9,-287.7991474285683,0.06969544168320833,0.4657950334821428,0.0004113731605053739,0.828784810185178,0.01038917340710977,0.5289184943948418,0.035834593406653986,0.6595591797026091,0.00032369318310062907,100
16,True,1.0,-235.97618799998955,0.15438085324863732,0.25807753627232144,0.0008769941572883103,2.5726148087421126,0.01019728661056403,4.722346558008211,0.015205123953091744,0.42662694700870313,0.001960749056222379,200
16,True,1.1,-201.6566708571421,0.05386756047079434,0.1219447042410714,0.00029371443798640364,0.6301624235566752,0.004061525663839427,1.1928052775792846,0.009150006223621426,0.20423933434116548,0.003604431699524837,100
16,True,1.2,-189.78731199999964,0.027766110024862463,0.09426834821428567,0.00015198195521357816,0.36160287388180434,0.001049986385865388,0.5861071650789222,0.0031793935516051365,0.25898832799152344,0.002666512641626432,100
16,True,1.3,-181.75097371428538,0.02275654596007253,0.08189175223214282,0.00010049085366572186,0.2742412119997633,0.000657044539456959,0.3913718573439952,0.0013472812583838721,0.28464858665741405,0.001534326722553704,100
16,True,1.4,-175.3399908571429,0.021959474809083633,0.07465407924107138,7.841507003071381e-05,0.2298129338088308,0.0005685199673269171,0.29619470222701805,0.0009011295205222081,0.29832108880874464,0.0012385625991466116,100
16,True,1.5,-169.87250171428556,0.023500357268019273,0.06969112165178568,5.850904422727687e-05,0.20142260645419596,0.000422025967813003,0.23909669132493616,0.0005805750277612032,0.3024544594534841,0.0012065828016593816,100
16,True,2.0,-149.23534742857336,0.023065263085369263,0.057391294642857096,4.096885992488378e-05,0.13315877599145448,0.00026472127945086554,0.12004525163823337,0.0002341020956326002,0.31210618715870153,0.0009313851534555759,100
16,True,2.5,-134.2417634285796,0.02468123903932132,0.05206237723214281,3.208301848177632e-05,0.10353849246114337,0.00020297034405884147,0.07901116255612242,0.00014459458555727143,0.31308807697334684,0.0009591529348044638,100
16,True,3.0,-122.21282971429437,0.02758212470878486,0.04896688616071424,3.3663715053565945e-05,0.0844476934326531,0.00019927052631953812,0.05842748491284008,0.00012505415650526652,0.3126185854615556,0.0010148289689562605,100
16,True,3.5,-112.36398285714824,0.031050254810688634,0.04687018415178567,3.056905347790221e-05,0.07090713563044561,0.00016696124265199553,0.04592200561019493,8.517360840086148e-05,0.31224008179445517,0.0009725891313994096,100
24,False,0.1,-634.0460274285825,0.17441045781481396,0.478652380952381,0.008814645154780244,0.02139907561084121,8.55106926096177e-05,0.018754585444976136,0.00223330394312598,0.6661286640088977,0.00033012413024600566,100
24,False,0.5,-623.7636634285718,0.23306518231002443,0.410423712797619,0.009579482886862115,0.09117678153355677,0.0036717218640826403,5.144195447466703,0.9953677183849565,0.5984887963472163,0.015575123400311173,100
24,False,0.6,-619.0066554285818,0.012271474507644712,0.4410369047619047,6.958861158451888e-05,0.1397504170110416,0.0003922688548617409,0.36148397602749804,0.002554215035063008,0.6641995440883836,1.6648307484485492e-05,100
24,False,0.7,-607.2849434285796,0.08554615015137705,0.4142786458333333,0.0020365110552035054,0.2858595081390991,0.0027381181040431,1.1844764488783621,0.2937579139215969,0.6567144996108842,0.0029490634823199193,100
24,False,0.8,-580.8775280000041,0.21318422587617256,0.33414077628968253,0.003176142143823725,0.7041082410054996,0.007342673839984487,6.479106764441168,0.3596487330594893,0.6014358510012193,0.004896052495745498,100
24,False,0.9,-519.3445634285686,0.1793657199485253,0.16204396329365076,0.0012332731350987768,1.1862007655090538,0.007268061956487333,5.0773580847710384,0.05876714085043425,0.3355978428393939,0.004246728571755388,100
24,False,1.0,-465.83649371428635,0.0594852750480477,0.08919529761904757,0.00018142332853685202,0.6880384629515841,0.0019508801771259171,1.3720866340688775,0.008139944760331858,0.28333052779914897,0.0025655812213574926,200
24,False,1.1,-434.6521354285736,0.0548591097390795,0.06570022569444439,0.0001145959312319562,0.43247322481882355,0.0013904812231228735,0.6635462075567538,0.0030817557302719495,0.29147798324352836,0.0021470289327510106,100
24,False,1.2,-413.4105560000029,0.04405612727084737,0.055108189484126935,6.48562729481915e-05,0.3196310994935342,0.0008711086526235062,0.4220714270791997,0.0012779388924930644,0.29978340360278843,0.0016420098045792093,100
24,False,1.3,-396.85368285714156,0.03622896118574513,0.04939591021825392,5.038608497258698e-05,0.25985585189479815,0.0006435208776877938,0.31154407598034406,0.0007642112941096109,0.3021271922288534,0.0013098354183071323,100
24,False,1.4,-383.0511937142853,0.033139699435611084,0.04560339781746027,4.4363880413344004e-05,0.22290818694424122,0.0004992118813095302,0.24534119769952623,0.0006002140766703487,0.3064191184332322,0.0010477584035156029,100
24,False,1.5,-371.01766171428693,0.028025145932866025,0.042959255952380905,3.0478153480526426e-05,0.19728033634758868,0.00040176478226776845,0.20267395058862425,0.00044909664544687635,0.30803544329552146,0.0010816841505138428,100
24,False,2.0,-324.94745371428684,0.02988268596292818,0.03637620039682535,2.6310065569959395e-05,0.13251960281468575,0.00027438012490058734,0.10847073631483838,0.0002289297471964167,0.3110450595781895,0.0009566057597737189,100
24,False,2.5,-291.5483919999687,0.04575064840969485,0.03338223462301583,2.4332936927625832e-05,0.10256256814572311,0.00022312247786381007,0.07326386052366775,0.00013996830272389993,0.3108271267428819,0.0008961200929634855,100
24,False,3.0,-265.09045771415515,0.044439666800131714,0.0316593625992063,2.106487303286502e-05,0.08300002608056921,0.0001814037777602001,0.05498167159521443,0.00010148380384457992,0.31071215483908854,0.0008695408984588593,100
24,False,3.5,-243.18419657129107,0.05235888847109543,0.030449947916666623,2.1332342779224613e-05,0.06915960749701515,0.00016190944612326256,0.043576440631984896,7.48018007031666e-05,0.3103485599848086,0.0009074982460378006,100
24,True,0.1,-691.2000000000148,2.9464794182088026e-14,0.5,0.0,-2.364686224609613e-11,2.97227191670995e-12,0.0,0.0,0.6666666666666667,2.2316322462394835e-17,100
24,True,0.5,-690.528944000002,0.21580439628562154,0.49279790674603174,0.003860512799469945,0.035777564540488395,0.01293138432978302,1.3623209235019627,0.6615550766110923,0.6548771266753322,0.008143542706219793,100
24,True,0.6,-689.7602422857287,0.004100348135310211,0.49931479662698414,2.3722271849477946e-06,0.03728817733168888,0.00014070582499647028,0.002144649388211873,1.4289779813565665e-05,0.6666548262009699,7.827819629706147e-08,100
24,True,0.7,-685.8019474285851,0.010744156001418537,0.4971806597222222,6.782149338908307e-06,0.10982347327968625,0.0003452051765204092,0.009526252955934261,4.717158048396523e-05,0.6666049967041099,3.017632314875613e-07,100
24,True,0.8,-675.3926080000122,0.023924439613376307,0.4907248363095238,1.8234400926465098e-05,0.2750285474766671,0.0008347276211033223,0.03814506340436201,0.00022349498918313877,0.6663793818827989,1.6173657577606285e-06,100
24,True,0.9,-648.6966022857162,0.07198401359627725,0.4695399305555555,0.0001135588383203319,0.7607212558564934,0.005363086897534191,0.25276181010251597,0.012179653239823462,0.6645352773396944,6.663335198103579e-05,100
24,True,1.0,-509.55603771427633,0.33560674758455356,0.18589824528769838,0.0010443815598823077,2.796734121480879,0.025533465240532988,7.514616801268602,0.06129601031333251,0.2706858225502103,0.0037363074249923576,200
24,True,1.1,-448.5270857142866,0.06437099731942167,0.08009817708333328,0.00016398866665307243,0.5153825477622308,0.002228288651235686,1.0740019016887625,0.00703818284342989,0.2328744160077994,0.004357617714395521,100
24,True,1.2,-425.15417371428595,0.03854877248074144,0.06245943204365076,9.126697849430959e-05,0.33442821900730857,0.0008671765232929139,0.5551979798484151,0.0023691758610811632,0.28427575985402587,0.0018834236773718784,100
24,True,1.3,-408.0766914285704,0.03590669863297685,0.054347549603174554,6.109701623908354e-05,0.26444809428504334,0.0006281597446056596,0.38046313845227187,0.0012505577246746929,0.2977556931275017,0.0014684388697481616,100
24,True,1.4,-394.13059085714485,0.03162832960544881,0.04967010664682535,4.616470995570149e-05,0.22509205858126322,0.0005226580600229865,0.2922801810432357,0.0007734885951347873,0.3032352409445783,0.0011813408674321152,100
24,True,1.5,-381.9446399999995,0.03698863230066938,0.046281130952380914,4.0595192882647524e-05,0.199194711812345,0.00039900293379907986,0.23597534080546104,0.000595962153643931,0.3065199339197309,0.00127199084276124,100
24,True,2.0,-335.70084114285856,0.03658999397165176,0.03813405257936504,2.425807134327143e-05,0.1333569269022687,0.00025014062916298315,0.11972463688952657,0.0002338428827256437,0.31090425159643525,0.0009568953757281619,100
24,True,2.5,-301.98676799998753,0.03762467407375844,0.03466601438492059,2.2531532342766993e-05,0.10317881239851227,0.00021551453146989764,0.07873885206618476,0.00016282129130883692,0.3127129399477827,0.000901245853585959,100
24,True,3.0,-275.045243428465,0.051050221301865394,0.0326307192460317,2.183196570104743e-05,0.08449257894991083,0.0001876896759099005,0.05817980330451619,9.920674060425799e-05,0.3116987907303803,0.0009724301420243117,100
24,True,3.5,-252.83155771411396,0.048655487765467464,0.03126949652777773,1.942619382079869e-05,0.07075351777468604,0.00014429576313177995,0.04577288126407106,9.249847759002842e-05,0.312788178569077,0.00088445137498698,100
