T,L,E,Ms,Cv,chi_s,U,periodica,intento
0.5,16,-263.51251428571305,0.44053683035714286,0.10897005301012541,0.24896343048469305,0.6634506204145723,False,6
0.1,16,-269.7991428571418,0.4980122767857143,0.031392570150501335,0.020912114158093686,0.6666231535573526,False,6
3.5,16,-105.74685714286306,0.04532645089285714,0.0689058195543528,0.043084328876639946,0.3137533322819561,False,4
3.0,16,-115.4171428571422,0.04707868303571429,0.0813486026077099,0.05308555949723637,0.32085160321655404,False,4
2.5,16,-127.66474285714308,0.04915625,0.10277908022653037,0.06948049285714286,0.31911619330451235,False,4
2.0,16,-142.18600000000146,0.05270424107142857,0.13056869252232772,0.10231238376913271,0.2990581942265227,False,4
1.5,16,-162.29097142857154,0.06312109375,0.19778071165532335,0.19039584561011905,0.3202951292403685,False,4
1.0,16,-199.83474285714314,0.10680970982142857,0.5182352848980258,0.8877109846141584,0.28197878527406695,False,4
0.5,16,-263.56954285714005,0.4400753348214286,0.10486229137745795,0.26403392458546193,0.6632707730671386,False,4
0.1,16,-269.7966857142839,0.49798995535714285,0.031352852045074535,0.020728313137823307,0.6666235023912825,False,4
3.5,16,-105.29108571429288,0.04523604910714286,0.07152873923781808,0.04331261459092566,0.3035806886230913,False,3
3.0,16,-115.5914857142881,0.04652622767857143,0.08227073242488497,0.05407871957376701,0.306383954743806,False,3
2.5,16,-127.56468571428498,0.04923772321428571,0.10042107770612006,0.06901228456632653,0.3254587104222808,False,3
2.0,16,-142.03594285714635,0.05395200892857143,0.1343085374968105,0.10498823644770405,0.3155318563506032,False,3
1.5,16,-162.38988571428334,0.062181919642857145,0.19585851287412956,0.18617320897108836,0.3082252447705379,False,3
1.0,16,-200.0475428571429,0.10585212053571429,0.5131586706122278,0.8296615936702803,0.30646460792064223,False,3
0.5,16,-263.60617142856967,0.4413543526785714,0.10169297632660346,0.24469616565689023,0.6635285605259083,False,3
0.1,16,-269.801142857141,0.49802734375,0.030535204081161275,0.020690987723170906,0.6666236285281362,False,3
3.5,16,-105.76748571428097,0.04534263392857143,0.06818268038213196,0.0422278034803207,0.31402515742600157,False,11
3.0,16,-115.31091428571902,0.04671484375,0.08236036496456951,0.05295447042410717,0.3181831773206313,False,11
2.5,16,-127.4279428571437,0.048926339285714285,0.1008034262836702,0.07010838724489799,0.30731994281475594,False,11
2.0,16,-141.4888571428577,0.05318136160714286,0.13494635196110139,0.10345043044483415,0.3120089249263138,False,11
1.5,16,-162.30417142857087,0.06282366071428572,0.1918275888378768,0.18871203231292513,0.32902278281634656,False,11
1.0,16,-199.84514285714255,0.10811216517857143,0.5290281109694206,0.8907329265784436,0.2831531407489014,False,11
0.5,16,-263.6271999999983,0.44046037946428573,0.10668058285750703,0.278904651626263,0.6631064288301879,False,11
0.1,16,-269.79879999999827,0.49800725446428573,0.030088723218568696,0.020107588488471606,0.6666247925282724,False,11
3.5,16,-106.27971428571585,0.04553292410714286,0.0687298542013743,0.04172364647868073,0.32668986885886986,False,1
3.0,16,-115.75617142857165,0.04685658482142857,0.07893204324121525,0.05242314814519559,0.31798258519361233,False,1
2.5,16,-127.03405714285594,0.04925613839285714,0.10600624649796032,0.07162008007015311,0.3085113075519389,False,1
2.0,16,-141.52777142857587,0.05253348214285714,0.13100017316326884,0.10094572704081634,0.3092671987337591,False,1
1.5,16,-161.90171428571256,0.06161439732142857,0.20022616553287284,0.1827638409332483,0.3130525060166963,False,1
1.0,16,-199.80405714285823,0.10805580357142858,0.5096561857014876,0.8542810510204077,0.30959677942528907,False,1
0.5,16,-263.45674285713784,0.43467131696428574,0.11793897709208068,0.8620740176976938,0.658300096568674,False,1
0.1,16,-269.7970285714267,0.49798939732142855,0.03015726531998552,0.0203486854273649,0.6666243060001418,False,1
3.5,16,-105.94754285714112,0.045390625,0.06903416625989185,0.042899744897959204,0.3151053692275514,False,16
3.0,16,-115.20828571428446,0.046398995535714284,0.0842782737740922,0.05317318747342688,0.2989938988516787,False,16
2.5,16,-126.77017142856995,0.048852678571428575,0.09965192962449124,0.07043208112244895,0.31746235546780255,False,16
2.0,16,-141.64702857143405,0.052258928571428574,0.13349446961415268,0.10213457015306121,0.30732196780229115,False,16
1.5,16,-162.26199999999898,0.06149832589285714,0.19092721527776904,0.18367660368835037,0.31425365768873226,False,16
1.0,16,-199.4240571428576,0.1073359375,0.49811595355862437,0.8925427522321425,0.27920281981312245,False,16
0.5,16,-263.56114285713954,0.44050167410714286,0.106956408163569,0.2729236860650417,0.663183116661535,False,16
0.1,16,-269.7878857142848,0.49789676339285716,0.03344267348097673,0.022353028539541242,0.6666201373283775,False,16
3.5,16,-106.09005714285817,0.04476227678571429,0.06940384238234114,0.04164003744533524,0.3128870048156881,False,12
3.0,16,-115.24771428571529,0.04706529017857143,0.08351588686933159,0.05377425379995748,0.30078353406931113,False,12
2.5,16,-126.99000000000342,0.04890457589285714,0.10300322321428666,0.07014449078443881,0.3086962782478152,False,12
2.0,16,-141.70497142857113,0.05284988839285714,0.13681760979272894,0.10189449740911993,0.31720202659290175,False,12
1.5,16,-161.93228571428511,0.06141015625,0.19704850779478042,0.1942887325148809,0.2830304440552257,False,12
1.0,16,-199.49297142857068,0.10342354910714285,0.4955101641708666,0.7985882314253829,0.2815560879861988,False,12
0.5,16,-263.5122285714267,0.43996316964285714,0.10570819918393681,0.2709493947704118,0.6632006793225278,False,12
0.1,16,-269.80291428571246,0.49804799107142855,0.029853825265035987,0.02002231823986733,0.6666250027633384,False,12
3.5,16,-105.81045714285652,0.04461662946428571,0.06721976104852019,0.041845225742529184,0.3149962880169016,False,19
3.0,16,-115.66457142857236,0.04668359375,0.079836166524944,0.05390665792410713,0.30901970457454286,False,19
2.5,16,-127.45982857143242,0.049786830357142854,0.1024275628387727,0.0730536503826531,0.31169996720725335,False,19
2.0,16,-142.08451428571664,0.053672991071428575,0.12741603813455882,0.10425330341198974,0.315310569419335,False,19
1.5,16,-162.07960000000037,0.06234988839285714,0.19290967432542377,0.1876646810693027,0.3221716291860953,False,19
1.0,16,-199.55651428571272,0.10120033482142857,0.4602662739668517,0.83428171229273,0.25363053936033997,False,19
0.5,16,-263.62342857142573,0.4409620535714286,0.1002042806121608,0.2506779948979556,0.6634525020579674,False,19
0.1,16,-269.79919999999817,0.49800502232142857,0.031464035726003196,0.02146873007013994,0.6666220323512109,False,19
3.5,16,-106.40074285714809,0.04547767857142857,0.06743712081528515,0.04388971355685129,0.30150604742303755,False,15
3.0,16,-115.52017142857946,0.04635435267857143,0.08297555752692728,0.05202950975233844,0.32143556878758694,False,15
2.5,16,-127.5351428571465,0.04898939732142857,0.10123198525510248,0.07114510455994903,0.3034204105538252,False,15
2.0,16,-141.8778857142851,0.052904575892857145,0.12908407599171667,0.10426247508769132,0.3016731869245959,False,15
1.5,16,-162.1522285714278,0.06157421875,0.18979691102039295,0.18565246168154764,0.30471479499095666,False,15
1.0,16,-199.7704571428562,0.10247935267857143,0.47631087641579484,0.7631759846141581,0.3129005536185687,False,15
0.5,16,-263.5330857142837,0.4407622767857143,0.10565253872437097,0.25313142283164325,0.6634376101706865,False,15
0.1,16,-269.80028571428386,0.49802120535714284,0.03083925384430585,0.020600991709258665,0.6666237852661081,False,15
3.5,16,-105.48639999999793,0.045034040178571426,0.07017626390670476,0.04143976856322887,0.32058353222258984,False,13
3.0,16,-115.10702857143279,0.04687779017857143,0.0803276868920043,0.05209877165710031,0.32081154255378885,False,13
2.5,16,-127.24988571428833,0.04937890625,0.09982211606326587,0.06862384665178571,0.33677518371669357,False,13
2.0,16,-141.7872000000017,0.053040736607142855,0.13163372392856942,0.10322738356983424,0.31171909466597847,False,13
1.5,16,-162.26845714285903,0.061473772321428574,0.20122337185942898,0.18929831414753395,0.3042984096138688,False,13
1.0,16,-199.59371428571356,0.10526897321428572,0.48857180994903615,0.865744247130102,0.2909318746296541,False,13
0.5,16,-263.55462857142516,0.44059542410714286,0.10589069204047519,0.26925602535075654,0.663238923256136,False,13
0.1,16,-269.80439999999817,0.4980613839285714,0.029724580366519142,0.02007758609700261,0.6666249045712158,False,13
3.5,16,-106.29622857143072,0.04511328125,0.06709929211162004,0.043397511639030606,0.30961025245680374,False,17
3.0,16,-115.78657142857183,0.046556919642857145,0.08218873125708608,0.05429568186649658,0.30557455320644544,False,17
2.5,16,-127.17160000000577,0.04934821428571429,0.09762945304285722,0.07073480153061222,0.3223961411501104,False,17
2.0,16,-141.61582857143057,0.052892299107142854,0.13108665264987351,0.10156767821269136,0.31123951696442953,False,17
1.5,16,-162.35411428571314,0.061300223214285715,0.19336693985827147,0.18510700999149649,0.3072493882810763,False,17
1.0,16,-199.4177714285703,0.10460602678571429,0.48471894488520206,0.9239512024872445,0.2294711109724329,False,17
