mcs,E,M,Ms,E_prom,E2_prom,M_prom,M2_prom,Ms_prom,Ms2_prom,Ms4_prom
61,-269.5999999999982,2,0.00390625,269.6645161290306,72719.77290322489,0.12903225806451613,3.4838709677419355,0.0026461693548387095,4.57763671875e-05,7.843388424765679e-08
62,-269.9999999999982,0,0.0,269.6698412698396,72722.63365079273,0.12698412698412698,3.4285714285714284,0.0026041666666666665,4.504975818452381e-05,7.718890195801144e-08
63,-269.9999999999982,0,0.0,269.67499999999836,72725.40499999908,0.125,3.375,0.0025634765625,4.4345855712890625e-05,7.598282536491752e-08
64,-269.5999999999982,2,0.00390625,269.6738461538445,72724.77046153754,0.09230769230769231,3.3846153846153846,0.0025841346153846153,4.389836237980769e-05,7.481744083074423e-08
65,-269.9999999999982,0,0.0,269.6787878787863,72727.42545454454,0.09090909090909091,3.3333333333333335,0.0025449810606060605,4.3233235677083336e-05,7.368384324239963e-08
66,-269.9999999999982,0,0.0,269.68358208955067,72730.00119402894,0.08955223880597014,3.283582089552239,0.0025069962686567163,4.2587963502798505e-05,7.258408438803545e-08
67,-269.9999999999982,0,0.0,269.6882352941161,72732.50117646967,0.08823529411764706,3.235294117647059,0.002470128676470588,4.1961669921875e-05,7.151667138232905e-08
68,-269.1999999999982,0,0.0078125,269.6811594202883,72728.67710144835,0.08695652173913043,3.1884057971014492,0.002547554347826087,4.2238097259963766e-05,7.053418759850488e-08
69,-269.1999999999982,0,0.0078125,269.6742857142841,72724.96228571337,0.08571428571428572,3.142857142857143,0.002622767857142857,4.250662667410714e-05,6.957977477993284e-08
70,-269.9999999999982,0,0.0,269.67887323943506,72727.42760563288,0.08450704225352113,3.0985915492957745,0.0025858274647887324,4.190794179137324e-05,6.859977795204647e-08
71,-269.5999999999982,2,0.00390625,269.6777777777762,72726.82666666574,0.05555555555555555,3.111111111111111,0.0026041666666666665,4.153781467013889e-05,6.765023701720767e-08
72,-269.9999999999982,0,0.0,269.68219178082035,72729.19890410866,0.0547945205479452,3.0684931506849313,0.0025684931506849314,4.0968803510273974e-05,6.672352144162948e-08
73,-269.9999999999982,0,0.0,269.68648648648497,72731.5070270261,0.05405405405405406,3.027027027027027,0.002533783783783784,4.0415171030405406e-05,6.582185223295882e-08
74,-269.1999999999982,4,0.0,269.6799999999985,72728.00213333241,0.0,3.2,0.0025,3.987630208333333e-05,6.494422753651937e-08
75,-269.5999999999982,2,0.00390625,269.67894736841953,72727.42526315697,0.02631578947368421,3.210526315789474,0.0025185032894736842,3.955238743832237e-05,6.409276178792904e-08
76,-269.5999999999982,2,0.00390625,269.6779220779205,72726.86337662245,0.05194805194805195,3.220779220779221,0.002536525974025974,3.923688616071429e-05,6.326341203280858e-08
77,-269.9999999999982,0,0.0,269.68205128204977,72729.08307692215,0.05128205128205128,3.1794871794871793,0.0025040064102564105,3.8733849158653844e-05,6.245234264777257e-08
78,-269.5999999999982,-2,0.00390625,269.68101265822634,72728.51443037883,0.02531645569620253,3.189873417721519,0.002521756329113924,3.843669649920886e-05,6.166475388822676e-08
79,-269.9999999999982,0,0.0,269.68499999999847,72730.65799999908,0.025,3.15,0.002490234375,3.795623779296875e-05,6.089394446462393e-08
80,-269.9999999999982,0,0.0,269.6888888888874,72732.74864197438,0.024691358024691357,3.111111111111111,0.002459490740740741,3.748764226466049e-05,6.014216737246808e-08
81,-269.9999999999982,0,0.0,269.6926829268278,72734.788292682,0.024390243902439025,3.073170731707317,0.002429496951219512,3.703047589557927e-05,5.940872630695017e-08
82,-269.5999999999982,-2,0.00390625,269.6915662650588,72734.1783132521,0.0,3.0843373493975905,0.002447289156626506,3.6768166415662654e-05,5.86957637085972e-08
83,-269.5999999999982,2,0.00390625,269.6904761904747,72733.58285714194,0.023809523809523808,3.0952380952380953,0.002464657738095238,3.651210239955357e-05,5.7999776410205025e-08
84,-269.9999999999982,0,0.0,269.6941176470574,72735.54070588143,0.023529411764705882,3.0588235294117645,0.0024356617647058824,3.608254825367647e-05,5.731742609949673e-08
85,-269.5999999999982,-2,0.00390625,269.6930232558125,72734.94325581304,0.0,3.0697674418604652,0.0024527616279069768,3.584041151889535e-05,5.665365173373112e-08
86,-269.9999999999982,0,0.0,269.6965517241365,72736.8404597692,0.0,3.0344827586206895,0.0024245689655172415,3.54284527658046e-05,5.600246033449282e-08
87,-269.1999999999982,0,0.0,269.6909090909076,72733.79272727181,0.0,3.0,0.0023970170454545455,3.502585671164773e-05,5.536606873978268e-08
88,-269.9999999999982,0,0.0,269.69438202247045,72735.66022471817,0.0,2.966292134831461,0.0023700842696629215,3.4632307759831464e-05,5.474397807978512e-08
